customer_id,customer_name,email,registration_date,customer_type
1,Desiree Rodriguez,erikahughes@example.net,2022-03-01,REGULAR
2,Robert Jimenez,susanreid@example.net,2024-07-04,REGULAR
3,Barbara Burnett,steven40@example.com,2022-01-06,REGULAR
4,Shelly Farley,austingeorge@example.com,2022-06-05,REGULAR
5,Christopher Vaughn,sarah39@example.org,2025-01-24,REGULAR
6,Michelle Thomas,mmccoy@example.org,2023-12-22,VIP
7,Joseph Watson,ctrujillo@example.org,2022-12-31,PREMIUM
8,Jordan Daniels,james05@example.org,2024-04-25,REGULAR
9,Nicole Garcia,andreahawkins@example.net,2025-03-11,PREMIUM
10,Cynthia Moore,robertramos@example.net,2024-02-14,PREMIUM
11,Brandy Henderson,arnoldamy@example.org,2025-06-09,REGULAR
12,Michael Carpenter,jeffreyhenry@example.net,2026-02-21,PREMIUM
13,Gabriel May,george70@example.org,2026-01-06,PREMIUM
14,Cody Ford,peter31@example.net,2025-03-10,VIP
15,Latasha Hughes,drodriguez,2025-04-15,REGULAR
16,Lynn Smith,yvonnewright@example.com,2025-01-25,REGULAR
17,Kevin Chavez,wilsonstephanie@example.net,2022-10-12,REGULAR
18,Michael Nichols,candiceclark@example.com,2025-11-18,REGULAR
19,Michael Ford,kimmichael@example.net,2022-04-24,PREMIUM
20,Jorge Garcia,vscott@example.net,2021-08-04,VIP
21,Angela Green,leslieeverett@example.com,2021-12-06,REGULAR
22,Devon Austin,christopherware@example.com,2023-04-03,REGULAR
23,Tracie Lee,taylorharris@example.org,2022-12-06,REGULAR
24,Danny Thompson,jeremyperez@example.net,2023-06-12,REGULAR
25,Donna Warren,jennifergallagher@example.org,2022-10-09,PREMIUM
26,Rachel Cooper,lancemartinez@example.org,2021-12-06,REGULAR
27,Amy Garcia,stacy26@example.com,2023-08-05,REGULAR
28,Colton Richardson,browningzachary@example.com,2024-10-10,REGULAR
29,Ernest Frey,robert50@example.net,2024-01-04,REGULAR
30,George Johnson,singhhannah@example.net,2021-11-15,REGULAR
31,Jacqueline Rodriguez,xmills@example.org,2024-12-05,REGULAR
32,Katie Douglas,albertmartin@example.com,2025-04-28,REGULAR
33,Charles Wright,robertkirk@example.com,2026-04-13,REGULAR
34,Matthew Mckay,bettykirk@example.net,2023-08-09,REGULAR
35,Justin Mclean,patriciaknight@example.net,2024-02-21,REGULAR
36,Yvonne Reese,bclark@example.org,2023-11-21,PREMIUM
37,Ronald Lynch,dmorris@example.org,2026-06-10,REGULAR
38,Robert Lambert,oprice@example.com,2022-04-08,PREMIUM
39,Jeffery Garcia,ericlittle@example.com,2024-10-20,REGULAR
40,Theresa Taylor,lawrence08@example.com,2025-06-17,REGULAR
41,Frederick Davis,schwartzanthony@example.net,2025-02-11,REGULAR
42,Rachel Benton,christine12@example.org,2021-11-30,REGULAR
43,Matthew Moore,travisalan@example.net,2023-09-09,REGULAR
44,Darrell Sullivan,mendezcarol@example.net,2024-06-14,REGULAR
45,Amber Zuniga,yduncan@example.org,2024-10-28,REGULAR
46,Frank Cole,tyler72@example.com,2025-04-05,PREMIUM
47,Jonathan Morgan,jason23@example.org,2024-09-16,PREMIUM
48,Kim Parks,ericamayer@example.net,2025-04-01,PREMIUM
49,Nicholas Powell,steeleamber@example.org,2025-09-12,PREMIUM
50,Summer Hood,ethomas@example.com,2023-04-26,PREMIUM
51,Kirk Edwards,marisa85@example.net,2025-06-15,PREMIUM
52,Tonya Stewart,uhartman@example.net,2022-05-17,REGULAR
53,Robert Diaz,qlawson@example.org,2023-11-19,PREMIUM
54,Alexander Davila,albert56@example.com,2024-06-20,REGULAR
55,Beth Mccarthy,stuart23@example.net,2023-08-17,REGULAR
56,Tracy Mays,ashley59@example.com,2023-11-22,REGULAR
57,Timothy Brown MD,kyle96@example.com,2025-09-28,REGULAR
58,Patricia Cox,krystal93@example.net,2021-11-10,REGULAR
59,Brandy Sullivan,murphylisa@example.com,2025-01-22,REGULAR
60,Dr. John Fitzgerald,ilewis@example.net,2024-10-03,VIP
61,Kelly Williams,oweaver@example.org,2022-07-01,REGULAR
62,Joshua Adkins,karlaguerra@example.net,2022-01-07,REGULAR
63,Alan Alexander,hgarcia@example.net,2025-05-13,REGULAR
64,Casey Cruz,mayoalbert@example.com,2026-03-20,PREMIUM
65,Elizabeth Hamilton,eparks@example.com,2024-05-08,PREMIUM
66,Karen Hendricks,patricia94@example.org,2021-10-17,REGULAR
67,Alex Jimenez,kaylaquinn@example.com,2024-07-20,REGULAR
68,Tiffany Edwards,hcowan@example.org,2024-06-29,REGULAR
69,Stephanie Conrad,john22@example.com,2026-02-15,REGULAR
70,Brandon Baldwin,amandahill@example.com,2024-05-25,REGULAR
71,Donna Wong,lcarter@example.net,2026-04-20,PREMIUM
72,Jason Mills,christian44@example.com,2022-11-04,REGULAR
73,Robert Carrillo,oyates@example.net,2025-10-15,VIP
74,Angela Lyons,cweaver@example.net,2026-02-11,REGULAR
75,Carla Little,darrylbrown@example.com,2025-03-18,REGULAR
76,Regina Carter,tracy40@example.net,2022-07-27,REGULAR
77,Jared Mercado,mhale@example.net,2024-08-11,REGULAR
78,Carol Brown,james64@example.com,2024-10-14,REGULAR
79,Jeffrey Brown,berryalexander@example.org,2025-03-28,VIP
80,Mark Mclaughlin,freemanmary@example.org,2023-06-14,REGULAR
81,Nicholas Green,johngomez@example.net,2022-12-31,REGULAR
82,Sara Thomas,amandamoore@example.org,2021-12-23,PREMIUM
83,Sharon Jones,seanmillerexample.net,2023-06-18,REGULAR
84,Johnny Rogers,anthonylambert@example.com,2022-12-10,REGULAR
85,Matthew Chapman,allisoneric@example.org,2023-08-18,REGULAR
86,Michael Walker,amandacaldwell@example.org,2023-02-03,REGULAR
87,Jessica Jones,johnsonshelby@example.org,2023-02-19,REGULAR
88,Jason Cox,nbarnes@example.net,2022-03-13,REGULAR
89,Jennifer Dodson,jeremy44@example.net,2025-01-15,REGULAR
90,Daniel Bennett,barbarawilliams@example.com,2021-12-02,REGULAR
91,Elijah Harmon,jeffrey23@example.com,2021-07-11,REGULAR
92,Sandra Vance,bergerjennifer@example.net,2024-01-16,REGULAR
93,Jessica Dawson,brownerin@example.net,2024-09-14,REGULAR
94,Dana Clarke,christinanunez@example.org,2023-08-31,PREMIUM
95,Megan Lucas,forbeslarry@example.org,2024-01-22,REGULAR
96,Molly Valenzuela,gregory09@example.com,2021-08-05,REGULAR
97,Sarah Wolfe,amy54@example.org,2022-11-12,VIP
98,Christopher Bates,robert74@example.com,2024-10-16,PREMIUM
99,Janet Jones,williamrodgers@example.org,2023-11-02,PREMIUM
100,Michael Gardner,gwendolyn47@example.com,2022-01-11,REGULAR
101,Melissa Wolfe,davistrevor@example.com,2024-07-02,REGULAR
102,Dawn Davis,porozco@example.com,2023-09-07,REGULAR
103,Margaret Ramsey,kellyedward@example.com,2021-10-05,REGULAR
104,Elizabeth Hall,stevelewis@example.org,2021-07-15,PREMIUM
105,Molly Archer,ppham@example.org,2021-09-01,REGULAR
106,Brittany Garcia,penashawn@example.org,2023-11-02,REGULAR
107,Mrs. Maria Davis MD,rparker@example.net,2023-02-26,REGULAR
108,Daniel Sharp,sadams@example.org,2025-01-04,REGULAR
109,Nicholas Swanson,thompsonwilliam@example.net,2023-09-07,REGULAR
110,Rebecca Bean,buchanansean@example.net,2022-05-18,VIP
111,Rachael Brown,christopher13@example.net,2023-08-30,PREMIUM
112,Gerald Rivera,carsonjacob@example.org,2025-09-05,REGULAR
113,Mckenzie Bernard,mmyers@example.net,2021-12-17,REGULAR
114,Wendy Hopkins,nelsonjon@example.com,2022-11-02,REGULAR
115,Jordan Vincent,huynhalan@example.com,2024-05-06,REGULAR
116,Elizabeth Mcdonald,singhandrew@example.org,2022-03-28,VIP
117,Alicia Thomas,timothy88@example.net,2023-08-01,REGULAR
118,Monica Allen,ashley00@example.com,2023-09-29,REGULAR
119,Alexander Carlson,james13@example.net,2025-08-11,REGULAR
120,Debra Fernandez,halljames@example.net,2022-03-12,REGULAR
121,Melissa Simmons,ronnie88@example.net,2026-04-10,VIP
122,Danielle Long,sandraperez@example.org,2023-06-19,PREMIUM
123,Tracy Brewer,quinntaylor@example.org,2025-12-27,PREMIUM
124,Stephanie Gonzalez,oromero@example.net,2023-05-13,PREMIUM
125,Tricia Miller,qtodd@example.net,2023-11-26,REGULAR
126,Jackie Jacobs,adavid@example.com,2023-05-03,PREMIUM
127,Jacqueline Smith,david72@example.org,2023-06-11,REGULAR
128,Thomas Rush,stevenmcfarland@example.net,2025-10-27,REGULAR
129,Terri Diaz,glee@example.com,2022-05-01,REGULAR
