customer_id,customer_name,email,registration_date,customer_type
1,Bridget Cooper,perezjudith@example.net,2023-02-20,REGULAR
2,Sabrina Deleon DVM,starkpatricia@example.com,2022-09-26,REGULAR
3,Erika Scott,loretta79@example.net,2025-12-31,REGULAR
4,Javier Tate PhD,sotorobert@example.org,2023-11-10,REGULAR
5,Nicole Gonzales,jamessmith@,2026-04-08,PREMIUM
6,Adrian Sanchez DDS,lisa92@example.net,2026-03-08,REGULAR
7,Dr. Cole Young DDS,shannon55@example.net,2026-03-10,REGULAR
8,Teresa Ryan,wrios@example.com,2026-01-03,VIP
9,Steven Baker,erikawilliams@example.com,2025-03-03,PREMIUM
10,Melinda Mckenzie,rrivera@example.org,2023-11-18,REGULAR
11,Megan Walsh,codybowen@example.net,2025-04-21,REGULAR
12,Michael Campbell,timothyfranklin@example.org,2022-09-12,VIP
13,Beth Rodriguez,ashleythompson@example.com,2022-04-28,PREMIUM
14,Mrs. Claire Hopkins,cindy46@example.org,2022-03-14,REGULAR
15,Michael Alvarado,brandycoleman@example.com,2025-01-14,REGULAR
16,Jennifer Bright,john71@example.org,2025-11-06,PREMIUM
17,Angela King,uhill@example.com,2023-04-29,REGULAR
18,Lisa Jones,reynoldskristin@example.org,2025-10-22,PREMIUM
19,Emily Wright,mary79@example.org,2022-12-03,REGULAR
20,Vincent Garcia,powellemily@example.com,2024-12-13,PREMIUM
21,Cassie Griffith,davidcampbell@example.com,2022-04-21,REGULAR
22,Matthew Jenkins,jasonponce@example.net,2022-05-28,PREMIUM
23,Sara Zimmerman MD,amy55@example.net,2021-11-11,VIP
24,David Gonzalez,flopez@example.com,2021-11-03,REGULAR
25,Emily Richardson,kathrynlawrence@example.com,2022-08-19,VIP
26,Chad Martin,eellis@example.org,2023-03-26,PREMIUM
27,Timothy Miller,zritter@example.net,2024-08-05,REGULAR
28,Gina Jimenez,shirleytaylor@example.org,2022-12-11,REGULAR
29,Brian Williams,jacqueline51@example.org,2023-07-05,VIP
30,Colleen Burke,pattersonjoseph@example.net,2023-04-22,REGULAR
31,Jenna Clark,troygreene@example.com,2022-07-14,REGULAR
32,Gregory Esparza,ihart@example.net,2023-06-11,PREMIUM
33,Ryan George,zodom@example.net,2023-03-20,REGULAR
34,Karen Montgomery,joshua84@example.com,2025-12-22,PREMIUM
35,Lauren Larson,brian54example.net,2025-02-28,REGULAR
36,Alexis White,hammondcrystal@example.net,2023-07-27,PREMIUM
37,Brandon Blankenship,travispatrick@example.com,2022-03-01,REGULAR
38,Cathy Cooper,william14@example.com,2021-07-15,PREMIUM
39,Julie Reynolds,conniecallahan@example.org,2022-05-22,REGULAR
40,Kelsey Banks,christinewilliams@example.net,2023-07-24,REGULAR
41,Casey Harris,guerrerowhitney@example.net,2025-10-19,VIP
42,Christina Woods,phillipspamela@example.org,2024-03-29,PREMIUM
43,Patricia Glover,joseph91@example.com,2024-09-01,PREMIUM
44,Tanya Lara,marie58@example.com,2024-02-17,REGULAR
45,Angela Johnson,jacquelinewright@example.com,2022-02-21,PREMIUM
46,Jerry Lopez,kperez@example.com,2026-07-05,REGULAR
47,Thomas Chandler,gerald21@example.com,2025-06-03,REGULAR
48,Emma Powell,amandamurphy@example.com,2022-12-04,PREMIUM
49,Jerry Branch,milestimothy@example.com,2025-11-27,REGULAR
50,Eugene Powers,christina98@example.org,2026-06-27,REGULAR
51,Emma Martinez,laura55@example.org,2026-05-24,VIP
52,Cody Goodwin,uhayden@example.org,2024-09-11,REGULAR
53,Jeremy Cook,elizabethgross@example.com,2021-11-06,REGULAR
54,Gregory Harrell,kentwatson@example.org,2025-11-27,REGULAR
55,Jennifer Vega,mary71@example.org,2026-05-17,PREMIUM
56,Alex Patel,nlane@example.net,2025-03-18,REGULAR
57,Michael Mcdonald,adrianbaker@example.org,2022-02-10,VIP
58,Victor Brown,lyoung@example.org,2023-01-03,REGULAR
59,Laura Barber,masseymelissa@example.org,2025-11-09,PREMIUM
60,Miguel White,smithjoseph@example.net,2025-05-13,REGULAR
61,Nathan Yang,gjones@example.org,2023-06-23,REGULAR
62,Amanda Davidson,ashley32@example.net,2022-06-08,REGULAR
63,Dr. Rebekah Lee,joe20@example.org,2022-08-21,REGULAR
64,Caroline Burns,burtonamanda@example.net,2025-02-11,REGULAR
65,Randy Rivera Jr.,bradshawdominique@example.net,2026-04-07,PREMIUM
66,Matthew Wilson,qhuerta@example.com,2025-09-15,REGULAR
67,Caroline Austin,tthomas@example.org,2023-03-28,REGULAR
68,Judy Johnson,zskinnerexample.net,2021-11-01,PREMIUM
69,Cole Lee,robertperryexample.com,2021-10-22,REGULAR
70,Shannon Levine,hortonsharon@example.com,2022-09-19,REGULAR
71,Bryan Moreno,chelseagreene@example.net,2023-07-17,REGULAR
72,Robert Rice,dylancisneros@example.net,2024-05-20,REGULAR
73,April Caldwell,amber07@example.net,2022-11-11,REGULAR
74,Janet Parker,millermichael@example.com,2023-12-09,REGULAR
75,Lori Hendricks,tamara61@example.net,2021-08-28,REGULAR
76,Jay Flores,landerson@example.com,2025-04-17,REGULAR
77,Matthew Miller,jessicamartinez@example.org,2025-02-07,REGULAR
78,Daniel Rogers,brownsusan@example.com,2024-02-22,REGULAR
79,Kevin Johnson,walteremily@example.net,2025-10-12,REGULAR
80,Alex Allen,shawngallagher@example.net,2021-07-21,REGULAR
81,Ricardo Lee,kimjeffrey@example.com,2025-09-18,REGULAR
82,Monica Sims,adrian79@example.org,2022-09-21,REGULAR
83,Matthew Short,ronaldrodriguez@example.net,2023-03-27,PREMIUM
84,Mitchell Smith,flemingjames@example.com,2023-06-26,REGULAR
85,Diane Jackson,conradsara@example.com,2024-07-05,REGULAR
86,David Galvan,devinswanson@example.org,2023-07-17,REGULAR
87,Frank Delgado,olsonmatthew@example.org,2026-02-12,REGULAR
88,Ashley Martin,qhoffman@example.org,2024-07-16,REGULAR
89,Calvin Parker,ashley37@example.com,2022-07-28,REGULAR
90,Jack Kennedy,ian88@example.org,2023-10-12,VIP
91,James Gutierrez,amber06@example.com,2022-07-12,REGULAR
92,Clayton Wells,cabreratyler@example.com,2025-11-15,REGULAR
93,Todd Delgado,scoffey@example.org,2024-10-31,REGULAR
94,Kenneth Howard,carl69@example.net,2022-05-19,REGULAR
95,Jean Franco,lauren54@example.net,2025-01-23,REGULAR
96,Blake Jefferson,moyernicholas@example.com,2022-10-27,REGULAR
97,Tammy Graham,masoncastaneda@example.net,2023-07-05,PREMIUM
